"cbo_familia";"vinculos_2012";"media_rendimento_2012";"vinculos_2020";"media_rendimento_2020";"vinculos_2021";"media_rendimento_2021";"mediana_vinculos2012_2020";"mediana_rendimento2012_2020";"mediana_vinculos2012_2021";"mediana_rendimento2012_2021";"tipo_cbo";"variacao_rendimento2012_2020";"variacao_vinculos2012_2020";"variacao_rendimento2012_2021";"variacao_vinculos2012_2021";"tipo_emprego";"cbo_grande_grupo";"cbo_subgrupo_principal";"cbo_subgrupo";"nome_cbo_grandegrupo";"nome_cbo_subgrupo_principal";"nome_cbo_subgrupo";"nome_cbo_familia"
"1111";"2";"7699,24222647721";NA;NA;NA;NA;"2,0";"7699,24222647721";"2,0";"7699,24222647721";"geral";NA;NA;NA;NA;"Estatutário";"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Legisladores"
"1112";"140";"34323,10061168235";"93";"27013,904564405166";"93";"25823,574056739802";"123,0";"29850,62476838375";"115,0";"29055,82011506706";"geral";"-7,02756123411933e-02";"-0,191304347826086962";"-1,11242637293558e-01";"-0,191304347826086962";"Estatutário";"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"1113";"584";"43971,78350317078";"264";"34905,086950963698";"682";"37885,070899536338";"660,0";"43971,78350317078";"664,0";"43495,27867389486";"geral";"-1,97497107383447e-01";"-0,602409638554216809";"-1,28984293132617e-01";"0,027108433734939652";"Estatutário";"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"1114";"31269";"17484,56497301378";"21023";"19628,195282939159";"22053";"20170,240154546500";"25639,0";"18842,52295510373";"25366,5";"19137,19514428234";"geral";"2,56568496561269e-02";"-0,171229771549090359";"5,39810041375264e-02";"-0,130625036958192942";"Estatutário";"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes do serviço público"
"1115";"191";"12116,41244031043";"1406";"30195,788175486636";"1404";"29782,642284144767";"352,0";"15286,29241521054";"365,0";"15667,90949448458";"geral";"9,27237847915586e-01";"2,852054794520547887";"9,00868925406345e-01";"2,846575342465753611";"Estatutário";"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Gestores públicos"
"1144";"5";"11006,13931045692";NA;NA;NA;NA;"2,0";"13324,90745652415";"2,0";"13324,90745652415";"geral";NA;NA;NA;NA;"Estatutário";"1";"11";"114";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO";"Dirigentes e administradores de organizações da sociedade civil sem fins lucrativos"
"1210";"1";"21836,92000670170";NA;NA;NA;NA;"2,0";"21699,96616780260";"2,0";"21563,01232890350";"geral";NA;NA;NA;NA;"Estatutário";"1";"12";"121";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES GERAIS";"Diretores gerais"
"1227";"1";"19783,75218827230";NA;NA;NA;NA;"1,0";"24763,91460260490";"1,0";"24763,91460260490";"geral";NA;NA;NA;NA;"Estatutário";"1";"12";"122";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE PRODUÇÃO E OPERAÇÕES";"Diretores de operações de serviços em instituição de intermediação financeira"
"1231";"67";"15846,86074389811";"20";"15030,089374140323";"25";"17583,758955770838";"67,0";"15846,86074389811";"63,5";"16337,53515703711";"geral";"-8,00271136575722e-02";"-0,685039370078740162";"7,62797929280619e-02";"-0,606299212598425230";"Estatutário";"1";"12";"123";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE ÁREAS DE APOIO";"Diretores administrativos e financeiros"
"1234";"5";"19649,94635112861";NA;NA;NA;NA;"6,0";"20903,92234866274";"6,0";"19649,94635112861";"geral";NA;NA;NA;NA;"Estatutário";"1";"12";"123";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE ÁREAS DE APOIO";"Diretores de suprimentos e afins"
"1236";"1";"23403,46038764620";NA;NA;NA;NA;"1,0";"22369,59039615260";"1,0";"22369,59039615260";"geral";NA;NA;NA;NA;"Estatutário";"1";"12";"123";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE ÁREAS DE APOIO";"Diretores de tecnologia da informação"
"1237";"1";"19653,22286505780";NA;NA;NA;NA;"2,0";"14715,09297862799";"2,0";"14715,09297862799";"geral";NA;NA;NA;NA;"Estatutário";"1";"12";"123";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE ÁREAS DE APOIO";"Diretores de pesquisa e desenvolvimento"
"1238";"1";"9020,19829194488";NA;NA;NA;NA;"1,0";"9020,19829194488";"1,0";"15542,85463279694";"geral";NA;NA;NA;NA;"Estatutário";"1";"12";"123";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES DE ÁREAS DE APOIO";"Diretores de manutenção"
"1311";"8";"12716,63124021759";"12";"7680,145881301578";"12";"7099,426385283225";"12,0";"9839,89502844764";"12,0";"9202,23981615979";"geral";"-1,65404723770109e-01";"0,000000000000000000";"-2,28511044363773e-01";"0,000000000000000000";"Estatutário";"1";"13";"131";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DE EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"Diretores e gerentes de operações em empresa de serviços pessoais, sociais e culturais"
"1312";"1";"9997,05184853144";NA;NA;NA;NA;"2,0";"9997,05184853144";"2,0";"9997,05184853144";"geral";NA;NA;NA;NA;"Estatutário";"1";"13";"131";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DE EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"Gestores e especialistas de operações em empresas, secretarias e unidades de serviços de saúde"
"1313";"2";"37655,10498735840";"41";"8926,950590135544";"41";"8764,356488617923";"2,0";"24301,17450548010";"2,5";"24052,90112216360";"geral";"-6,28861793228353e-01";"15,399999999999998579";"-6,35621647297174e-01";"15,399999999999998579";"Estatutário";"1";"13";"131";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DE EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"Diretores e gerentes de instituição de serviços educacionais"
"1411";"12";"6232,29821537374";NA;NA;NA;NA;"8,0";"8458,15060927168";"4,0";"7926,83628159501";"geral";NA;NA;NA;NA;"Estatutário";"1";"14";"141";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE PRODUÇÃO E OPERAÇÕES";"Gerentes de produção e operações em empresa agropecuária, pesqueira, aqüícola e florestal"
"1412";"1";"11440,89432292270";NA;NA;NA;NA;"4,0";"11484,73652343133";"4,0";"11484,73652343133";"geral";NA;NA;NA;NA;"Estatutário";"1";"14";"141";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE PRODUÇÃO E OPERAÇÕES";"Gerentes de produção e operações em empresa da indústria extrativa, de transformação e de serviços de utilidade pública"
"1413";"1";"10439,98100924110";NA;NA;NA;NA;"1,0";"10439,98100924110";"1,0";"10439,98100924110";"geral";NA;NA;NA;NA;"Estatutário";"1";"14";"141";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE PRODUÇÃO E OPERAÇÕES";"Gerentes de obras em empresa de construção"
"1414";"1";"13737,24733575110";NA;NA;NA;NA;"1,0";"16145,48740409575";"1,0";"16145,48740409575";"geral";NA;NA;NA;NA;"Estatutário";"1";"14";"141";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE PRODUÇÃO E OPERAÇÕES";"Gerentes de operações comerciais e de assistência técnica"
"1417";"2";"12887,75283524048";NA;NA;NA;NA;"2,0";"13676,78877618474";"2,0";"13676,78877618474";"geral";NA;NA;NA;NA;"Estatutário";"1";"14";"141";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE PRODUÇÃO E OPERAÇÕES";"Gerentes de operações de serviços em instituição de intermediação financeira"
"1421";"54";"13648,38465265305";"27";"20083,681397310887";"48";"16602,054124345628";"45,0";"17457,89621207011";"46,5";"17029,97516820787";"geral";"1,79313604332423e-01";"-0,419354838709677380";"-2,51275201305695e-02";"0,032258064516129004";"Estatutário";"1";"14";"142";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE ÁREAS DE APOIO";"Gerentes administrativos, financeiros, de riscos e afins"
"1422";"2";"13955,81583423340";"5";"12908,109111716680";"8";"12241,221033461959";"4,0";"13955,81583423340";"4,5";"13431,96247297504";"geral";"-3,90005081023973e-02";"0,111111111111111160";"-8,86498485912866e-02";"0,777777777777777679";"Estatutário";"1";"14";"142";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE ÁREAS DE APOIO";"Gerentes de recursos humanos e de relações do trabalho"
"1423";"10";"17446,64324930485";"38";"13160,556407826623";"1036";"15377,345082630771";"38,0";"16311,29755761113";"38,5";"16248,72617887382";"geral";"-1,90056114987177e-01";"-0,012987012987012991";"-5,36276558944045e-02";"25,909090909090910060";"Estatutário";"1";"14";"142";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE ÁREAS DE APOIO";"Gerentes de comercialização, marketing e comunicação"
"1424";"1";"4897,13735385760";"1";"1934,718903116920";"2";"7132,529313663956";"1,0";"4897,13735385760";"1,0";"5892,99356009088";"geral";"-6,71691665129347e-01";"0,000000000000000000";"2,10340591913690e-01";"1,000000000000000000";"Estatutário";"1";"14";"142";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE ÁREAS DE APOIO";"Gerentes de suprimentos e afins"
"1425";"17";"9537,06977552175";"15";"5925,159432614470";"21";"8353,727545299767";"15,0";"7887,63596181644";"15,5";"7946,54570298251";"geral";"-2,54372949696794e-01";"-0,032258064516129004";"5,12401057687784e-02";"0,354838709677419262";"Estatutário";"1";"14";"142";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE ÁREAS DE APOIO";"Gerentes de tecnologia da informação"
"1426";"16";"10940,61010290938";"6";"11828,518672877728";"14";"5423,055795777691";"6,0";"10049,57218106562";"10,0";"9732,42181745566";"geral";"2,15372586056905e-01";"-0,400000000000000022";"-4,42784550701334e-01";"0,399999999999999911";"Estatutário";"1";"14";"142";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE ÁREAS DE APOIO";"Gerentes de pesquisa e desenvolvimento e afins"
"1427";"4";"8088,59815668938";"4";"16041,446191449850";"9";"10113,694609245533";"4,0";"16041,44619144985";"4,0";"15928,59031912970";"geral";"7,08511362644648e-03";"0,000000000000000000";"-3,65060284267634e-01";"1,250000000000000000";"Estatutário";"1";"14";"142";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"GERENTES";"GERENTES DE ÁREAS DE APOIO";"Gerentes de manutenção e afins"
"2021";"2";"16930,33182945525";"3";"13391,519477937631";"3";"13052,399274345462";"3,0";"13391,51947793763";"3,0";"13387,01475853979";"geral";"3,36499173198002e-04";"0,000000000000000000";"-2,49955266524881e-02";"0,000000000000000000";"Estatutário";"2";"20";"202";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"PROFISSIONAIS DA ELETROMECÂNICA";"Engenheiros de controle e automação, engenheiros mecatrônicos e afins"
"2030";"3";"20628,63123680453";"2";"26213,425518896649";"2";"26156,140073176251";"2,0";"25169,94303870145";"2,0";"25315,26101240618";"geral";"3,54791722688663e-02";"0,000000000000000000";"3,32162903774915e-02";"0,000000000000000000";"Estatutário";"2";"20";"203";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"PESQUISADORES";"Pesquisadores das ciências biológicas"
"2031";"1";"25088,74012536540";"1";"7190,034528392720";"6";"10237,049714456338";"1,0";"9797,54914982152";"1,0";"10017,29943213893";"geral";"-2,82238234256568e-01";"0,000000000000000000";"2,19370783319479e-02";"5,000000000000000000";"Estatutário";"2";"20";"203";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"PESQUISADORES";"Pesquisadores das ciências naturais e exatas"
"2032";"5";"20098,97956132346";"12";"19158,509528125818";"10";"20364,902870172609";"10,0";"20098,97956132346";"10,0";"20231,94121574803";"geral";"-5,30562873910825e-02";"0,199999999999999956";"6,57186836432100e-03";"0,000000000000000000";"Estatutário";"2";"20";"203";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"PESQUISADORES";"Pesquisadores de engenharia e tecnologia"
"2034";"1";"20011,10318355740";NA;NA;NA;NA;"1,0";"28207,23807271560";"1,0";"28207,23807271560";"geral";NA;NA;NA;NA;"Estatutário";"2";"20";"203";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"PESQUISADORES";"Pesquisadores das ciências da agricultura"
"2035";"186";"14732,30076856045";"293";"14380,058587522220";"289";"17763,867001971314";"298,0";"14606,90616065466";"295,5";"14658,48428235387";"geral";"-1,89941667548001e-02";"-0,008460236886632777";"2,11848828282728e-01";"-0,021996615905245376";"Estatutário";"2";"20";"203";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"PESQUISADORES";"Pesquisadores das ciências sociais e humanas"
"2041";"428";"34645,43946602175";"502";"31149,010538327631";"281";"24554,105238430948";"463,0";"33622,67373069391";"455,5";"33576,28008428388";"geral";"-7,22911990209536e-02";"0,102085620197585047";"-2,68706802040169e-01";"-0,383095499451152621";"Estatutário";"2";"20";"204";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"PROFISSIONAIS DE INVESTIGAÇÃO CRIMINAL";"Peritos criminais e judiciais"
"2112";"142";"18202,09613773593";"107";"18840,597447721437";"110";"19134,712520608751";"132,0";"19195,00625741172";"131,0";"19164,85938901023";"geral";"-1,69196097245953e-02";"-0,183206106870228980";"-1,57302841568308e-03";"-0,160305343511450427";"Estatutário";"2";"21";"211";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"MATEMÁTICOS, ESTATÍSTICOS E AFINS";"Profissionais de estatística"
"2123";"2";"25667,16821723655";"2";"13722,051507559601";"2";"13435,654145252101";"2,0";"17928,45054692142";"2,0";"17131,26718624650";"geral";"-1,99005458360017e-01";"0,000000000000000000";"-2,15723273755333e-01";"0,000000000000000000";"Estatutário";"2";"21";"212";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"PROFISSIONAIS DA INFORMÁTICA";"Administradores de tecnologia da informação"
"2124";"4583";"24212,62698351006";"4075";"25129,489146929725";"4621";"24704,146315281250";"4596,0";"24644,79613298980";"4608,5";"24674,47122413552";"geral";"1,84408378465726e-02";"-0,115764348486492308";"1,20266371166244e-03";"0,002712379299121270";"Estatutário";"2";"21";"212";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"PROFISSIONAIS DA INFORMÁTICA";"Analistas de tecnologia da informação"
"2131";"8";"12561,10179012838";"4";"13781,770352967651";"4";"14904,870116177324";"5,0";"13267,60093879983";"4,5";"13431,21293070700";"geral";"2,61002058465762e-02";"-0,111111111111111160";"1,09718846173690e-01";"-0,111111111111111160";"Estatutário";"2";"21";"213";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"FÍSICOS, QUÍMICOS E AFINS";"Físicos"
"2132";"43";"15971,85247168181";"44";"14923,123471364814";"42";"15864,338355477968";"43,0";"16235,95903806301";"42,5";"16103,90575487240";"geral";"-7,33227268888067e-02";"0,035294117647058920";"-1,48763537890150e-02";"-0,011764705882352899";"Estatutário";"2";"21";"213";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"FÍSICOS, QUÍMICOS E AFINS";"Químicos"
"2133";"69";"15971,72935053004";"36";"14663,491778394258";"33";"14072,118326445356";"64,0";"15853,44681019918";"63,5";"15824,21477195613";"geral";"-7,33510641942825e-02";"-0,433070866141732291";"-1,10722488967722e-01";"-0,480314960629921295";"Estatutário";"2";"21";"213";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"FÍSICOS, QUÍMICOS E AFINS";"Profissionais das ciências atmosféricas e espaciais e de astronomia"
"2134";"230";"22275,09160600432";"159";"19870,792755851304";"153";"19685,226021747312";"203,0";"21630,00615681013";"198,5";"21529,79794682123";"geral";"-7,70562359696864e-02";"-0,198992443324937041";"-8,56753012559627e-02";"-0,229219143576826156";"Estatutário";"2";"21";"213";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"FÍSICOS, QUÍMICOS E AFINS";"Geólogos, oceanógrafos, geofísicos e afins"
"2140";"5";"21717,70082571134";"2";"21494,331902072950";"1";"16476,016859190298";"2,0";"17955,70993613780";"2,0";"17875,34786426320";"geral";"2,02456705474521e-01";"0,000000000000000000";"-7,82827285767387e-02";"-0,500000000000000000";"Estatutário";"2";"21";"214";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"ENGENHEIROS, ARQUITETOS E AFINS";"Engenheiros ambientais e afins"
"2141";"108";"18057,71991999539";"117";"15736,508969429275";"148";"16128,957354925627";"139,0";"16961,02895674445";"139,0";"16910,74694138493";"geral";"-6,94373806210768e-02";"-0,158273381294964044";"-4,62303403373665e-02";"0,064748201438848962";"Estatutário";"2";"21";"214";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"ENGENHEIROS, ARQUITETOS E AFINS";"Arquitetos e urbanistas"
"2142";"617";"19632,60647717999";"1268";"20031,239687278525";"1280";"19804,847642596251";"732,0";"19632,60647717999";"732,0";"19718,72705988812";"geral";"1,58485193512372e-02";"0,732240437158469870";"4,36745143064110e-03";"0,748633879781420708";"Estatutário";"2";"21";"214";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"ENGENHEIROS, ARQUITETOS E AFINS";"Engenheiros civis e afins"
"2143";"35";"12824,47479277064";"53";"18663,305859269523";"52";"21581,190385711339";"52,0";"20088,68257496907";"52,0";"20327,96213290783";"geral";"-8,18899731687064e-02";"0,019230769230769162";"6,16504617929572e-02";"0,000000000000000000";"Estatutário";"2";"21";"214";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"ENGENHEIROS, ARQUITETOS E AFINS";"Engenheiros eletricistas, eletrônicos e afins"
"2144";"30";"13271,27118977282";"23";"17473,429855450489";"28";"20221,388130343876";"22,0";"18292,43249523252";"22,5";"18455,38906256677";"geral";"-5,32071799617596e-02";"0,022222222222222143";"9,56901565060526e-02";"0,244444444444444464";"Estatutário";"2";"21";"214";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"ENGENHEIROS, ARQUITETOS E AFINS";"Engenheiros mecânicos e afins"
"2145";"6";"16593,16106683122";"5";"16415,271284068560";"5";"15940,824022239995";"6,0";"15576,39010416957";"6,0";"15758,60706320478";"geral";"4,16701944676976e-02";"-0,166666666666666630";"1,15630117753664e-02";"-0,166666666666666630";"Estatutário";"2";"21";"214";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"ENGENHEIROS, ARQUITETOS E AFINS";"Engenheiros químicos e afins"
"2147";"115";"22817,94460664787";"106";"21591,505857055170";"105";"21062,703872248239";"106,0";"21972,05793188702";"106,0";"21960,91749696264";"geral";"-1,68213208741650e-02";"0,000000000000000000";"-4,09005509373018e-02";"-0,009433962264150941";"Estatutário";"2";"21";"214";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"ENGENHEIROS, ARQUITETOS E AFINS";"Engenheiros de minas e afins"
"2148";"4";"18221,39741677967";"4";"17772,646016425824";"5";"18386,294962949360";"4,0";"15783,78646381384";"4,0";"15824,74428171713";"geral";"1,23092146073992e-01";"0,000000000000000000";"1,61869957304250e-01";"0,250000000000000000";"Estatutário";"2";"21";"214";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"ENGENHEIROS, ARQUITETOS E AFINS";"Engenheiros agrimensores e engenheiros cartógrafos"
"2149";"59";"16319,59968845096";"118";"20838,867655646030";"116";"21596,997267074184";"106,0";"20023,23794004204";"111,0";"20431,05279784404";"geral";"1,99605405476231e-02";"0,063063063063063085";"5,70672730752857e-02";"0,045045045045045029";"Estatutário";"2";"21";"214";"PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"ENGENHEIROS, ARQUITETOS E AFINS";"Engenheiros de produção, qualidade, segurança e afins"
